Postcode,lat,lon
SK9 7QB,53.304946,-2.237421
WA4 6NL,53.369182,-2.582078
SK9 7QL,53.312435,-2.236667
BL3 4XB,53.570132,-2.476023
SK1 3TA,53.406906,-2.160927
WN2 3AY,53.534491,-2.580209
M27 0FJ,53.503519,-2.357558
BL6 7DF,53.60551,-2.541587
SK9 1BT,53.327354,-2.228552
OL2 6QF,53.568077,-2.123806
M50 1RD,53.480673,-2.328495
WA4 2AF,53.370954,-2.581199
BL1 5SL,53.590237,-2.476521
M33 3JS,53.41333,-2.308493
SK9 6EL,53.312527,-2.253252
M33 2PG,53.418509,-2.289903
M19 2FP,53.44423,-2.194522
CW9 5BF,53.26154,-2.509481
CW9 5BE,53.261284,-2.514695
OL4 4JH,53.536783,-2.039221
BL8 4JL,53.630879,-2.364956
SK1 3SS,53.407392,-2.160523
SK1 3SU,53.406817,-2.159994
SK3 8AB,53.404264,-2.160571
M41 9JG,53.447481,-2.352631
BL1 8PE,53.598898,-2.432616
OL6 7QL,53.483583,-2.09648
SK3 0UF,53.400435,-2.184847
BL9 9NY,53.574165,-2.295936
M44 5LH,53.437925,-2.432258
OL4 3RX,53.553977,-2.041879
SK9 7JX,53.302691,-2.236853
M15 5EP,53.463365,-2.252296
SK9 4BN,53.337831,-2.22583
M14 6HT,53.447883,-2.218479
SK9 7JT,53.302423,-2.236026
M14 7LE,53.447952,-2.23858
M19 2SU,53.438813,-2.186985
M19 2SY,53.440412,-2.187865
M19 2SX,53.440043,-2.18812
M21 9AS,53.44275,-2.278958
M14 6AF,53.439762,-2.220951
M22 0EJ,53.373261,-2.258287
SK8 3PX,53.369887,-2.234085
SK8 3PY,53.369848,-2.235422
M21 7SA,53.432725,-2.268612
M15 5JT,53.461316,-2.248067
M20 2NT,53.427779,-2.240182
CW9 7DF,53.259315,-2.489292
BL4 0NX,53.546622,-2.427631
OL2 5PA,53.565004,-2.122559
M19 2UJ,53.44154,-2.184724
M19 3PW,53.443894,-2.191328
SK3 9AR,53.401368,-2.168261
M17 8BD,53.464652,-2.345558
M32 9BD,53.445677,-2.30942
SK9 5BS,53.32745,-2.239107
SK9 5BQ,53.326411,-2.23739
M19 3PY,53.443419,-2.190363
M25 3HN,53.532124,-2.285821
M24 2BE,53.545443,-2.1749
SK3 9AD,53.402352,-2.165076
BL9 5NA,53.635102,-2.301217
SK9 5BB,53.326825,-2.237152
M20 2UE,53.41479,-2.249256
BL2 6RF,53.573489,-2.367057
M19 2AA,53.444257,-2.194913
M19 2AD,53.443847,-2.197862
OL6 6DA,53.489996,-2.092305
SK3 0LX,53.401322,-2.192822
M19 2AQ,53.446633,-2.198071
M41 0SE,53.455134,-2.345179
M32 0QL,53.458253,-2.294963
M14 6SS,53.440756,-2.21793
SK8 5NU,53.387417,-2.185902
M20 6RG,53.417088,-2.22798
M90 4AB,53.371565,-2.273202
M17 1DB,53.464933,-2.312
M22 1PB,53.369548,-2.262834
M90 4AN,53.371366,-2.273771
M41 0PS,53.457789,-2.355742
M13 0FZ,53.459924,-2.220649
SK2 7NL,53.388815,-2.136591
M60 4EP,53.487362,-2.227212
M20 6RT,53.416939,-2.226384
WN7 4PG,53.495512,-2.516609
M46 0PN,53.514483,-2.509209
WA2 7BE,53.398595,-2.587157
SK7 6BE,53.36946,-2.113715
SK9 5PW,53.332225,-2.251252
M19 2JX,53.438981,-2.188068
SK8 3QD,53.370308,-2.234718
WN7 2RA,53.495748,-2.511999
SK9 5PZ,53.334299,-2.248035
SK8 4BB,53.392475,-2.233953
M26 4HF,53.574291,-2.338975
M19 3BZ,53.446497,-2.187892
M26 4HN,53.575191,-2.339543
OL1 3AT,53.542265,-2.111568
M16 0BH,53.451473,-2.269649
M29 8DW,53.514163,-2.461853
M13 9TX,53.467512,-2.229154
M45 7PX,53.541221,-2.307265
M15 6FD,53.466464,-2.240913
SK9 5NU,53.337509,-2.268478
OL3 5PF,53.564384,-2.00052
M21 0AE,53.442308,-2.276034
BL7 0BA,53.647874,-2.394088
M15 4GB,53.473857,-2.251017
SK6 5AA,53.400594,-2.053323
BL8 2PP,53.589449,-2.318945
M20 5PG,53.408664,-2.219511
SK7 1AH,53.358443,-2.164876
M12 6JZ,53.473583,-2.216108
M19 3NU,53.44197,-2.186066
M41 6NA,53.448253,-2.393185
BL5 3DU,53.552369,-2.521859
M16 0LH,53.46129,-2.27673
M14 7PY,53.449868,-2.228908
BL1 7ND,53.600793,-2.471033
M20 2JB,53.427404,-2.24775
SK9 3EW,53.346345,-2.215405
SK1 1JE,53.410292,-2.156156
SK9 7BJ,53.298472,-2.233919
M34 3BP,53.460872,-2.105495
SK2 5EU,53.397054,-2.113352
SK1 1JT,53.410857,-2.157347
M41 8QZ,53.45187,-2.392345
SK4 4JY,53.421765,-2.1853
SK1 1JP,53.41102,-2.156505
SK3 0HZ,53.404777,-2.184504
HD7 5HA,53.620858,-1.886349
M14 6WP,53.440636,-2.214798
M19 2EQ,53.443827,-2.193827
SK1 1XY,53.411754,-2.157439
BL1 2EF,53.581943,-2.428531
WA1 4HJ,53.398541,-2.52948
M33 3HE,53.42,-2.304644
M15 6ER,53.460303,-2.229326
M15 6LR,53.462631,-2.238602
SK8 4NG,53.39186,-2.235845
OL9 6HQ,53.536953,-2.129298
M20 3EB,53.432447,-2.234128
OL9 6HB,53.537783,-2.127173
M16 0GU,53.461668,-2.287757
M25 1BR,53.532691,-2.282054
CW8 1PR,53.238055,-2.53761
OL1 1JA,53.541797,-2.112819
OL1 3AJ,53.542201,-2.113168
SK5 6AZ,53.43834,-2.160083
M21 9GA,53.446771,-2.277795
M19 3NN,53.4433,-2.191642
M21 9GE,53.447125,-2.280131
SK4 5DA,53.426408,-2.175975
M46 9FD,53.526852,-2.482944
SK9 1NY,53.324654,-2.234828
SK1 1SL,53.412389,-2.159442
SK1 1SE,53.412462,-2.159865
BL1 1JT,53.577464,-2.426825
SK1 1SZ,53.411428,-2.160343
BL6 5PH,53.592794,-2.537194
SK1 1SP,53.409224,-2.161372
M50 3AH,53.470896,-2.293062
M30 7BY,53.476604,-2.370576
M20 2WS,53.427303,-2.240104
M50 3AG,53.470859,-2.293198
M13 0RQ,53.455799,-2.199589
BL5 3AA,53.548826,-2.524185
M22 5RF,53.380103,-2.261846
SK9 5JH,53.322299,-2.244078
SK9 3JZ,53.357735,-2.219579
BL1 3NT,53.591953,-2.436881
SK1 1JQ,53.410291,-2.155794
BL1 6AB,53.588938,-2.461747
OL2 7BS,53.575658,-2.099967
M19 3DB,53.446765,-2.188917
SK2 6LR,53.395111,-2.148461
OL5 9BT,53.5261,-2.025062
M20 3NA,53.437041,-2.224203
BL7 0AY,53.647315,-2.391677
SK9 3AB,53.345647,-2.213689
SK4 2NX,53.414954,-2.18351
SK5 7AS,53.435403,-2.164783
SK1 3UH,53.405335,-2.159086
SK5 6XD,53.444564,-2.157035
M12 4NE,53.45781,-2.200954
M15 5TL,53.467616,-2.249099
CW9 6HF,53.293196,-2.506047
M19 3NP,53.441873,-2.189466
M19 1TF,53.418356,-2.213271
SK1 1NP,53.409853,-2.161042
WN2 3BE,53.535296,-2.582966
M41 9LG,53.446273,-2.347893
M33 4HW,53.411027,-2.351562
BL1 1NE,53.577151,-2.428875
SK7 2BY,53.359384,-2.167194
M22 0DN,53.374497,-2.260354
SK5 6DA,53.436337,-2.165886
SK9 5QB,53.33597,-2.248421
M33 4HE,53.41088,-2.346445
SK9 5QA,53.334728,-2.249194
SK1 2HU,53.414114,-2.147775
BL3 1AA,53.56444,-2.372884
M30 0QN,53.481544,-2.357027
M26 2GB,53.565242,-2.309387
SK4 4RW,53.428089,-2.187299
M22 1TX,53.376624,-2.273835
BL6 5SU,53.583142,-2.571647
CW9 5PB,53.260496,-2.503577
M30 0GX,53.483992,-2.352768
SK7 4PS,53.378184,-2.117241
OL2 6BB,53.558093,-2.120318
OL1 2HF,53.549754,-2.119964
M19 3JL,53.444784,-2.173221
BL9 6ED,53.600503,-2.287051
M21 0BA,53.445678,-2.276357
M12 5AR,53.468473,-2.214743
SK1 2QE,53.415534,-2.140679
SK9 7DZ,53.300957,-2.236483
SK9 7DY,53.301084,-2.235959
SK1 1DH,53.409073,-2.15943
SK9 2PL,53.338353,-2.220891
BL5 3SF,53.552405,-2.52343
SK7 1NE,53.351071,-2.159305
M19 2RE,53.436004,-2.184203
M22 5DR,53.384105,-2.24819
M22 5DW,53.381526,-2.24804
M45 7QZ,53.553993,-2.300595
SK2 6DG,53.396308,-2.139728
M32 8GR,53.453007,-2.286268
WA4 6HJ,53.37195,-2.582161
SK7 4DF,53.379413,-2.120612
WA4 6HR,53.370746,-2.581632
WA4 6HW,53.371293,-2.582332
OL8 3QL,53.516588,-2.143005
M30 0RZ,53.482111,-2.35658
BL5 3EE,53.5531,-2.512903
